"","time_in_s","boundary","beginning","ending","both","level","piece","theory","boundary_type"
"1",24.845,0,0,0,1,2,1,1,"both"
"2",36.411,1,0,1,0,2,1,1,"ending"
"3",38.201,1,1,0,0,1,1,1,"beginning"
"4",42.235,1,1,0,0,2,1,1,"beginning"
"5",46.152,0,0,0,1,3,1,1,"both"
"6",49.188,0,0,1,0,2,1,1,"ending"
"7",50.235,1,1,0,0,2,1,1,"beginning"
"8",57.191,0,0,0,1,2,1,1,"both"
"9",59.193,1,1,0,0,2,1,1,"beginning"
"10",63.085,0,0,0,1,3,1,1,"both"
"11",66.088,0,0,0,1,2,1,1,"both"
"12",68.151,0,0,1,0,2,1,1,"ending"
"13",69.146,1,1,0,0,1,1,1,"beginning"
"14",75.316,0,0,0,1,3,1,1,"both"
"15",78.236,1,0,0,1,3,1,1,"both"
"16",82.293,0,0,0,1,2,1,1,"both"
"17",86.741,1,1,0,0,1,1,1,"beginning"
"18",90.857,0,0,0,1,3,1,1,"both"
"19",93.752,1,0,0,1,3,1,1,"both"
"20",105.998,1,1,0,0,2,1,1,"beginning"
"21",109.898,0,0,0,1,3,1,1,"both"
"22",112.849,1,0,0,1,2,1,1,"both"
"23",120.878,0,0,0,1,1,1,1,"both"
"24",125.899,1,0,1,0,1,1,1,"ending"
"25",126.97,1,1,0,0,1,1,1,"beginning"
"26",131.101,0,0,0,1,3,1,1,"both"
"27",135.181,1,0,0,1,3,1,1,"both"
"28",139.222,0,0,0,1,3,1,1,"both"
"29",141.23,1,1,0,0,2,1,1,"beginning"
"30",143.196,0,0,0,1,3,1,1,"both"
"31",146.142,0,0,0,1,3,1,1,"both"
"32",149.097,1,0,0,1,3,1,1,"both"
"33",151.061,0,0,0,1,3,1,1,"both"
"34",156.102,1,0,0,1,2,1,1,"both"
"35",164.117,1,0,0,1,2,1,1,"both"
"36",168.116,0,0,0,1,3,1,1,"both"
"37",172.193,1,0,0,1,2,1,1,"both"
"38",177.207,0,0,0,1,1,1,1,"both"
"39",184.814,1,1,0,0,1,1,1,"beginning"
"40",188.762,0,0,0,1,3,1,1,"both"
"41",191.79,0,0,1,0,2,1,1,"ending"
"42",192.892,1,1,0,0,2,1,1,"beginning"
"43",199.811,0,0,0,1,2,1,1,"both"
"44",201.796,1,1,0,0,2,1,1,"beginning"
"45",205.848,0,0,0,1,3,1,1,"both"
"46",208.831,0,0,0,1,3,1,1,"both"
"47",210.838,1,0,0,1,2,1,1,"both"
"48",212.816,0,0,0,1,3,1,1,"both"
"49",218.726,1,0,0,1,2,1,1,"both"
"50",222.799,0,0,0,1,3,1,1,"both"
"51",227.235,1,1,0,0,2,1,1,"beginning"
"52",233.521,0,0,0,1,3,1,1,"both"
"53",239.808,1,0,0,1,2,1,1,"both"
"54",244.761,0,0,1,0,1,1,1,"ending"
"55",247.188,1,1,0,0,1,1,1,"beginning"
"56",251.154,0,0,0,1,3,1,1,"both"
"57",254.146,1,0,0,1,2,1,1,"both"
"58",262.437,1,0,0,1,3,1,1,"both"
"59",266.433,1,0,0,1,2,1,1,"both"
"60",270.423,0,0,0,1,3,1,1,"both"
"61",273.46,1,0,0,1,2,1,1,"both"
"62",283.805,1,0,0,1,2,1,1,"both"
"63",297.22,1,0,1,0,1,1,1,"ending"
"64",301.752,0,0,0,1,3,1,1,"both"
"65",311.6,1,0,1,0,2,1,1,"ending"
"66",317.503,0,0,1,0,2,1,1,"ending"
"67",321.736,1,0,1,0,1,1,1,"ending"
"68",24.845,1,0,0,1,2,1,2,"both"
"69",36.411,1,0,1,0,2,1,2,"ending"
"70",38.201,1,1,0,0,1,1,2,"beginning"
"71",42.235,1,1,0,0,2,1,2,"beginning"
"72",46.152,1,0,0,1,3,1,2,"both"
"73",49.188,1,0,1,0,2,1,2,"ending"
"74",50.235,1,1,0,0,2,1,2,"beginning"
"75",57.191,1,0,0,1,2,1,2,"both"
"76",59.193,1,1,0,0,2,1,2,"beginning"
"77",63.085,1,0,0,1,3,1,2,"both"
"78",66.088,1,0,0,1,2,1,2,"both"
"79",68.151,1,0,1,0,2,1,2,"ending"
"80",69.146,1,1,0,0,1,1,2,"beginning"
"81",75.316,1,0,0,1,3,1,2,"both"
"82",78.236,1,0,0,1,3,1,2,"both"
"83",82.293,1,0,0,1,2,1,2,"both"
"84",86.741,1,1,0,0,1,1,2,"beginning"
"85",90.857,1,0,0,1,3,1,2,"both"
"86",93.752,1,0,0,1,3,1,2,"both"
"87",105.998,1,1,0,0,2,1,2,"beginning"
"88",109.898,1,0,0,1,3,1,2,"both"
"89",112.849,1,0,0,1,2,1,2,"both"
"90",120.878,1,0,0,1,1,1,2,"both"
"91",125.899,1,0,1,0,1,1,2,"ending"
"92",126.97,1,1,0,0,1,1,2,"beginning"
"93",131.101,1,0,0,1,3,1,2,"both"
"94",135.181,1,0,0,1,3,1,2,"both"
"95",139.222,1,0,0,1,3,1,2,"both"
"96",141.23,1,1,0,0,2,1,2,"beginning"
"97",143.196,1,0,0,1,3,1,2,"both"
"98",146.142,1,0,0,1,3,1,2,"both"
"99",149.097,1,0,0,1,3,1,2,"both"
"100",151.061,1,0,0,1,3,1,2,"both"
"101",156.102,1,0,0,1,2,1,2,"both"
"102",164.117,1,0,0,1,2,1,2,"both"
"103",168.116,1,0,0,1,3,1,2,"both"
"104",172.193,1,0,0,1,2,1,2,"both"
"105",177.207,1,0,0,1,1,1,2,"both"
"106",184.814,1,1,0,0,1,1,2,"beginning"
"107",188.762,1,0,0,1,3,1,2,"both"
"108",191.79,1,0,1,0,2,1,2,"ending"
"109",192.892,1,1,0,0,2,1,2,"beginning"
"110",199.811,1,0,0,1,2,1,2,"both"
"111",201.796,1,1,0,0,2,1,2,"beginning"
"112",205.848,1,0,0,1,3,1,2,"both"
"113",208.831,1,0,0,1,3,1,2,"both"
"114",210.838,1,0,0,1,2,1,2,"both"
"115",212.816,1,0,0,1,3,1,2,"both"
"116",218.726,1,0,0,1,2,1,2,"both"
"117",222.799,1,0,0,1,3,1,2,"both"
"118",227.235,1,1,0,0,2,1,2,"beginning"
"119",233.521,1,0,0,1,3,1,2,"both"
"120",239.808,1,0,0,1,2,1,2,"both"
"121",244.761,1,0,1,0,1,1,2,"ending"
"122",247.188,1,1,0,0,1,1,2,"beginning"
"123",251.154,1,0,0,1,3,1,2,"both"
"124",254.146,1,0,0,1,2,1,2,"both"
"125",262.437,1,0,0,1,3,1,2,"both"
"126",266.433,1,0,0,1,2,1,2,"both"
"127",270.423,1,0,0,1,3,1,2,"both"
"128",273.46,1,0,0,1,2,1,2,"both"
"129",283.805,1,0,0,1,2,1,2,"both"
"130",297.22,1,0,1,0,1,1,2,"ending"
"131",301.752,1,0,0,1,3,1,2,"both"
"132",311.6,1,0,1,0,2,1,2,"ending"
"133",317.503,1,0,1,0,2,1,2,"ending"
"134",321.736,1,0,1,0,1,1,2,"ending"
"135",1.091,1,1,0,0,1,2,1,"beginning"
"136",5.993,0,0,0,1,2,2,1,"both"
"137",14.32,0,0,0,1,2,2,1,"both"
"138",20.181,0,0,1,0,2,2,1,"ending"
"139",21.327,0,1,0,0,2,2,1,"beginning"
"140",26.122,1,0,0,1,2,2,1,"both"
"141",31.117,0,0,0,1,2,2,1,"both"
"142",36.056,0,0,1,0,2,2,1,"ending"
"143",38.583,1,1,0,0,1,2,1,"beginning"
"144",45.12,0,0,0,1,2,2,1,"both"
"145",46.441,1,1,0,0,2,2,1,"beginning"
"146",54.121,0,1,0,0,2,2,1,"beginning"
"147",59.021,1,1,0,0,2,2,1,"beginning"
"148",63.923,0,0,0,1,2,2,1,"both"
"149",66.498,1,0,0,1,2,2,1,"both"
"150",74.036,0,0,0,1,2,2,1,"both"
"151",84.978,0,0,1,0,2,2,1,"ending"
"152",92.531,1,1,0,0,1,2,1,"beginning"
"153",97.949,0,0,0,1,2,2,1,"both"
"154",109.633,0,0,0,1,2,2,1,"both"
"155",113.683,0,0,0,1,2,2,1,"both"
"156",116.824,0,0,0,1,2,2,1,"both"
"157",124.663,0,0,0,1,2,2,1,"both"
"158",129.634,1,0,0,1,2,2,1,"both"
"159",137.092,0,0,1,0,2,2,1,"ending"
"160",138.4,1,1,0,0,2,2,1,"beginning"
"161",143.492,0,0,0,1,2,2,1,"both"
"162",148.633,0,0,0,1,2,2,1,"both"
"163",157.363,1,1,0,0,2,2,1,"beginning"
"164",168.434,0,0,0,1,2,2,1,"both"
"165",173.318,1,0,1,0,1,2,1,"ending"
"166",178.18,0,0,0,1,2,2,1,"both"
"167",185.582,0,0,0,1,2,2,1,"both"
"168",195.149,0,0,0,1,2,2,1,"both"
"169",203.174,0,0,0,1,1,2,1,"both"
"170",205.72,1,1,0,0,1,2,1,"beginning"
"171",212.744,0,0,0,1,2,2,1,"both"
"172",221.339,1,1,0,0,2,2,1,"beginning"
"173",229.682,0,0,0,1,2,2,1,"both"
"174",234.756,1,0,0,1,2,2,1,"both"
"175",242.151,0,0,0,1,2,2,1,"both"
"176",250.926,1,0,0,1,2,2,1,"both"
"177",255.952,0,0,0,1,2,2,1,"both"
"178",261.02,0,0,0,1,2,2,1,"both"
"179",266.436,1,1,0,0,1,2,1,"beginning"
"180",271.613,0,0,0,1,2,2,1,"both"
"181",283.038,0,0,0,1,2,2,1,"both"
"182",287.03,0,0,0,1,2,2,1,"both"
"183",290.584,1,0,0,1,2,2,1,"both"
"184",296.028,0,0,0,1,2,2,1,"both"
"185",305.552,0,0,0,1,2,2,1,"both"
"186",309.156,0,0,0,1,2,2,1,"both"
"187",311.988,0,0,1,0,1,2,1,"ending"
"188",314.285,1,1,0,0,1,2,1,"beginning"
"189",323.972,0,0,0,1,2,2,1,"both"
"190",333.402,1,0,0,1,2,2,1,"both"
"191",342.793,0,0,0,1,2,2,1,"both"
"192",347.558,1,1,0,0,2,2,1,"beginning"
"193",352.232,0,0,0,1,2,2,1,"both"
"194",354.693,1,0,0,1,2,2,1,"both"
"195",359.285,0,0,0,1,2,2,1,"both"
"196",361.674,1,0,0,1,2,2,1,"both"
"197",366.513,0,0,0,1,2,2,1,"both"
"198",371.11,1,0,0,1,2,2,1,"both"
"199",387.422,1,0,0,1,1,2,1,"both"
"200",392.146,0,0,0,1,2,2,1,"both"
"201",400.274,0,0,0,1,2,2,1,"both"
"202",405.951,0,0,1,0,2,2,1,"ending"
"203",407.051,0,1,0,0,2,2,1,"beginning"
"204",412.894,0,0,0,1,2,2,1,"both"
"205",420.926,1,0,0,1,2,2,1,"both"
"206",1.091,1,1,0,0,1,2,2,"beginning"
"207",5.993,1,0,0,1,2,2,2,"both"
"208",14.32,1,0,0,1,2,2,2,"both"
"209",20.181,1,0,1,0,2,2,2,"ending"
"210",21.327,1,1,0,0,2,2,2,"beginning"
"211",26.122,1,0,0,1,2,2,2,"both"
"212",31.117,1,0,0,1,2,2,2,"both"
"213",36.056,1,0,1,0,2,2,2,"ending"
"214",38.583,1,1,0,0,1,2,2,"beginning"
"215",45.12,1,0,0,1,2,2,2,"both"
"216",46.441,1,1,0,0,2,2,2,"beginning"
"217",54.121,1,1,0,0,2,2,2,"beginning"
"218",59.021,1,1,0,0,2,2,2,"beginning"
"219",63.923,1,0,0,1,2,2,2,"both"
"220",66.498,1,0,0,1,2,2,2,"both"
"221",74.036,1,0,0,1,2,2,2,"both"
"222",84.978,1,0,1,0,2,2,2,"ending"
"223",92.531,1,1,0,0,1,2,2,"beginning"
"224",97.949,1,0,0,1,2,2,2,"both"
"225",109.633,1,0,0,1,2,2,2,"both"
"226",113.683,1,0,0,1,2,2,2,"both"
"227",116.824,1,0,0,1,2,2,2,"both"
"228",124.663,1,0,0,1,2,2,2,"both"
"229",129.634,1,0,0,1,2,2,2,"both"
"230",137.092,1,0,1,0,2,2,2,"ending"
"231",138.4,1,1,0,0,2,2,2,"beginning"
"232",143.492,1,0,0,1,2,2,2,"both"
"233",148.633,1,0,0,1,2,2,2,"both"
"234",157.363,1,1,0,0,2,2,2,"beginning"
"235",168.434,1,0,0,1,2,2,2,"both"
"236",173.318,1,0,1,0,1,2,2,"ending"
"237",178.18,1,0,0,1,2,2,2,"both"
"238",185.582,1,0,0,1,2,2,2,"both"
"239",195.149,1,0,0,1,2,2,2,"both"
"240",203.174,1,0,0,1,1,2,2,"both"
"241",205.72,1,1,0,0,1,2,2,"beginning"
"242",212.744,1,0,0,1,2,2,2,"both"
"243",221.339,1,1,0,0,2,2,2,"beginning"
"244",229.682,1,0,0,1,2,2,2,"both"
"245",234.756,1,0,0,1,2,2,2,"both"
"246",242.151,1,0,0,1,2,2,2,"both"
"247",250.926,1,0,0,1,2,2,2,"both"
"248",255.952,1,0,0,1,2,2,2,"both"
"249",261.02,1,0,0,1,2,2,2,"both"
"250",266.436,1,1,0,0,1,2,2,"beginning"
"251",271.613,1,0,0,1,2,2,2,"both"
"252",283.038,1,0,0,1,2,2,2,"both"
"253",287.03,1,0,0,1,2,2,2,"both"
"254",290.584,1,0,0,1,2,2,2,"both"
"255",296.028,1,0,0,1,2,2,2,"both"
"256",305.552,1,0,0,1,2,2,2,"both"
"257",309.156,1,0,0,1,2,2,2,"both"
"258",311.988,1,0,1,0,1,2,2,"ending"
"259",314.285,1,1,0,0,1,2,2,"beginning"
"260",323.972,1,0,0,1,2,2,2,"both"
"261",333.402,1,0,0,1,2,2,2,"both"
"262",342.793,1,0,0,1,2,2,2,"both"
"263",347.558,1,1,0,0,2,2,2,"beginning"
"264",352.232,1,0,0,1,2,2,2,"both"
"265",354.693,1,0,0,1,2,2,2,"both"
"266",359.285,1,0,0,1,2,2,2,"both"
"267",361.674,1,0,0,1,2,2,2,"both"
"268",366.513,1,0,0,1,2,2,2,"both"
"269",371.11,1,0,0,1,2,2,2,"both"
"270",387.422,1,0,0,1,1,2,2,"both"
"271",392.146,1,0,0,1,2,2,2,"both"
"272",400.274,1,0,0,1,2,2,2,"both"
"273",405.951,1,0,1,0,2,2,2,"ending"
"274",407.051,1,1,0,0,2,2,2,"beginning"
"275",412.894,1,0,0,1,2,2,2,"both"
"276",420.926,1,0,0,1,2,2,2,"both"
